T;allocated heap
57660;6099120
57720;6028096
57780;6750512
57840;4863048
57900;5610632
57960;6311952
58020;6347256
58080;7429232
58140;6689720
58200;5598272
58260;7422432
58320;8406784
58380;5270488
58440;5305008
58500;5390696
58560;7086144
58620;6218864
58680;6628176
58740;6334336
58800;6756808
58860;5569304
58920;5991552
58980;5732600
59040;6232560
59100;7243008
59160;6208232
59220;6649624
59280;6302144
59340;6123040
59400;5878464
59460;6586424
59520;5627824
59580;6235144
59640;6092760
59700;5159536
59760;7318656
59820;6213536
59880;6061160
59940;7202200
60000;7095456
60060;6287584
60120;6114112
60180;5771920
60240;6838072
60300;6629600
60360;5551376
60420;6513752
60480;7210032
60540;6297760
60600;7017432
60660;6392024
60720;5765952
60780;7350176
60840;6029936
60900;5754872
60960;5647032
61020;6670160
61080;6551440
61140;5900976
61200;5341712
61260;6327416
61320;4849880
61380;5733944
61440;5166360
61500;5533560
61560;5845856
61620;5379520
61680;5878008
61740;6830840
61800;5208664
61860;5870392
61920;6121168
61980;7269968
62040;6253504
62100;5451752
62160;6131256
62220;5712296
62280;7392856
62340;5928208
62400;5298552
62460;6850248
62520;5245576
62580;5954000
62640;5864608
62700;6697200
62760;5452856
62820;6102544
62880;5649072
62940;5160288
63000;5201664
63060;7440992
63120;6386000
63180;5411912
63240;5915352
63300;5603832
63360;5329120
63420;5612680
63480;5460288
63540;5832568
63600;5361264
63660;5791920
63720;5584672
63780;6134664
63840;5377312
63900;4580304
63960;5480664
64020;5247840
64080;4446960
64140;5220112
64200;5004680
64260;4790504
64320;5890312
64380;5200544
64440;7676480
64500;5306432
64560;7169456
64620;7631200
64680;7444256
64740;6789712
64800;5631584
64860;5252512
64920;6051496
64980;5289752
65040;4938848
65100;5475584
65160;7659152
65220;4437144
65280;5046832
65340;5998376
65400;6116392
65460;5422104
65520;5783288
65580;5387072
65640;5272584
65700;7210032
65760;7208736
65820;5795760
65880;8741504
65940;5721264
66000;6003000
66060;5911712
66120;5535976
66180;5938000
66240;6721880
66300;5315960
66360;5967224
66420;7448800
66480;5936632
66540;5241088
66600;5341712
66660;5577256
66720;7850720
66780;5304568
66840;4931944
66900;5756888
66960;5915880
67020;5541048
67080;5364776
67140;5847720
67200;5819464
67260;5304536
67320;5619160
67380;5398616
67440;4425800
67500;7710272
67560;5352792
67620;5699808
67680;5515336
67740;4969776
67800;5739024
67860;5219096
67920;5214536
67980;6675240
68040;7395352
68100;5632056
68160;7753632
68220;5747824
68280;5628064
68340;5490568
68400;5643752
68460;6089584
68520;5622424
68580;5325760
68640;5002752
68700;6600336
68760;7090408
68820;7631976
68880;5310056
68940;5189704
69000;7266464
69060;5397944
69120;4615744
69180;5633360
69240;5965056
69300;5829472
69360;7122480
69420;5658944
69480;5790016
69540;5609792
69600;6031432
69660;5545448
69720;5377280
69780;5718288
69840;6226776
69900;5718744
69960;6006120
70020;6274832
70080;4631016
70140;5843336
70200;5123144
70260;8263352
70320;5435568
70380;5773504
70440;5408880
70500;5520464
70560;5833032
70620;6062872
70680;8764184
70740;4271432
70800;5374288
70860;6058368
70920;5572080
70980;5943856
71040;5164048
71100;5863408
71160;6068280
71220;5527320
71280;5384328
71340;6272312
71400;5757840
71460;7196360
71520;5856344
71580;6790216
71640;6980872
71700;5023456
71760;7788784
71820;6194040
71880;7000280
71940;5604960
72000;7742352
72060;5905520
72120;5561576
72180;8496320
72240;6882216
72300;5766344
72360;5901672
72420;6231728
72480;7405776
72540;6096072
72600;6249944
72660;8264536
72720;6614944
72780;5426880
72840;6106320
72900;7785504
72960;8071072
73020;5295984
73080;7157448
73140;8849520
73200;7557432
73260;7237232
73320;5570000
73380;8812144
73440;7088352
73500;6080424
73560;6728808
73620;5611824
73680;7482184
73740;7319072
73800;6647824
73860;5906392
73920;6360056
73980;7698248
74040;6290400
74100;8061288
74160;6881920
74220;6093672
74280;5441648
74340;5236104
74400;6296808
74460;7121888
74520;8845264
74580;6208408
74640;6510296
74700;5499560
74760;7418600
74820;7591608
74880;6464848
74940;5950624
75000;7291040
75060;5595120
75120;7169960
75180;5538568
75240;5954512
75300;5642496
75360;7483864
75420;7429088
75480;6955080
75540;5563376
75600;7103688
75660;5530880
75720;8828160
75780;7111744
75840;6533256
75900;5841752
75960;7459384
76020;5579632
76080;5959400
76140;6659176
76200;6687064
76260;5537416
76320;5122144
76380;5599248
76440;5496576
76500;5319520
76560;5497600
76620;7340488
76680;8067792
76740;4992824
76800;5725216
76860;5370928
76920;8720728
76980;5997920
77040;5480272
77100;5566512
77160;6551120
77220;5090680
77280;6164120
77340;4208640
77400;5646016
77460;5904672
77520;5852360
77580;7650296
77640;7019328
77700;7018544
77760;5241328
77820;6230024
77880;5085448
77940;5565280
78000;6081408
78060;6051904
78120;5102520
78180;5861768
78240;7579648
78300;5722888
78360;5462552
78420;5227928
78480;6956480
78540;5046688
78600;5481664
78660;6853768
78720;5718560
78780;5656304
78840;5132920
78900;5952768
78960;5411288
79020;5425768
79080;6903064
79140;4893872
79200;6000296
79260;5803072
79320;5152704
79380;5458280
79440;6321680
79500;6170744
79560;6996760
79620;6013800
79680;5399408
79740;5744320
79800;6188464
79860;5588056
79920;4905040
79980;5597624
80040;6142776
80100;5695888
80160;5981952
80220;4887536
80280;8657352
80340;5834928
80400;5166664
80460;5960056
80520;5750320
80580;4818824
80640;5847904
80700;5850552
80760;5742184
80820;5741688
80880;5377664
80940;7369472
81000;4534904
81060;5793536
81120;5111976
81180;5469608
81240;5760192
81300;5710448
81360;5678872
81420;5419864
81480;4659480
81540;5172944
81600;5312944
81660;5539384
81720;4949840
81780;5908272
81840;5663672
81900;4927560
81960;6047880
82020;4826520
82080;5589096
82140;5614160
82200;5458552
82260;5973992
82320;6059640
82380;6878792
82440;6273496
82500;5152664
82560;5491216
82620;5862088
82680;6142672
82740;4233976
82800;5367664
82860;6873816
82920;5894016
82980;5267648
83040;6081032
83100;5659152
83160;5784304
83220;5339632
83280;5714008
83340;5652664
83400;6014696
83460;5728648
83520;5455456
83580;5599696
83640;5952200
83700;5084896
83760;5959280
83820;5714144
83880;5231040
83940;6071040
84000;6012128
84060;5653072
84120;6263784
84180;7033008
84240;4995112
84300;5945368
84360;4720024
84420;7178832
84480;5253008
84540;5560552
84600;5241512
84660;5436768
84720;5190304
84780;5592752
84840;4521424
84900;5501872
84960;6872872
85020;5866800
85080;5772944
85140;5716344
85200;5140176
85260;5425528
85320;5653808
85380;5699032
85440;4814584
85500;6396192
85560;4951120
85620;5919080
85680;6743320
85740;5677496
85800;5219704
85860;5183848
85920;5579528
85980;6436280
86040;5508112
86100;6850576
86160;6139992
86220;6155568
86280;5618768
86340;5214544
86400;4304464
86460;6057496
86520;5735592
86580;5765120
86640;5462784
86700;5719408
86760;4585432
86820;5543696
86880;6968072
86940;5508888
87000;5729416
87060;4286952
87120;5356968
87180;5181800
87240;5299528
87300;4378792
87360;5824632
87420;6698168
87480;6119352
87540;7832568
87600;5453768
