r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
4,0,0,1815728,40112,1105732,0,0,0,12,12410,543,1,51,49,0,0,"-0,593719003","-0,428925503","-0,337995398","-0,047791975","-0,115823697","-0,158614159","-0,273340223"
5,0,0,1815728,40112,1105732,0,0,0,0,12442,553,1,50,49,0,0,"-0,64710859","-0,491436272","-0,495590323","0,4244512822","0,1420188806","-0,20158738","-0,146376303"
5,0,0,1815728,40120,1105732,0,0,0,20,11462,534,1,51,48,0,0,"-0,518494671","-0,365525846","-0,519130115","0,411548142","-0,014998765","-0,14579243","-0,199915764"
5,0,0,1815728,40120,1105732,0,0,0,0,11862,550,1,51,49,0,0,"-0,579259963","-0,403945904","-0,518440044","0,3926388114","0,0912167241","-0,199596801","-0,159457044"
5,0,0,1815728,40120,1105732,0,0,0,0,11861,545,1,50,49,0,0,"-0,562077729","-0,477718491","-0,488763175","0,3958875335","0,0981944715","-0,225325268","-0,140936945"
2,0,0,1813712,40120,1105732,0,0,0,0,9757,660,1,52,48,0,0,"0,0114528183","0,0585999968","0,197011252","-1,112300877","-0,39671553","-0,606566562","-0,667997924"
2,0,0,1838668,40120,1105732,0,0,0,4,10890,479,1,51,48,0,0,"-0,144118154","-0,401185195","-0,048276376","-1,03019016","-0,795569642","-0,224658213","-0,324821367"
2,0,0,1838668,40128,1105732,0,0,0,28,11907,562,2,51,48,0,0,"-0,203990522","-0,245160093","0,2443680489","-0,837590712","-0,6654651","-0,285618095","-0,37419215"
3,0,0,1838668,40128,1105732,0,0,0,0,11790,538,2,50,49,0,0,"-0,264331921","-0,409258069","0,0241225469","-0,407547984","-0,463565404","-0,337168622","-0,173334136"
4,0,0,1838668,40128,1105732,0,0,0,0,12433,538,0,51,49,0,0,"-0,50591906","-0,537528435","-0,482106231","-0,148875713","0,0331313997","-0,057760811","-0,190685981"
3,0,0,1832092,40128,1105732,0,0,0,4,8229,603,1,52,47,0,0,"0,2509827615","0,0367420256","-0,065564485","-0,654062171","-0,449710453","-0,559716663","-0,480869051"
3,0,0,1832092,40128,1105732,0,0,0,0,11929,538,1,51,49,0,0,"-0,371954817","-0,411364958","-0,145308821","-0,538307793","-0,337615722","-0,217230097","-0,265741122"
3,0,0,1832092,40136,1105732,0,0,0,24,11584,584,1,51,48,0,0,"-0,271342029","-0,271821375","-0,037202907","-0,511044358","-0,271422802","-0,238398803","-0,374255673"
4,0,0,1832092,40136,1105732,0,0,0,0,11089,539,1,51,49,0,0,"-0,303843902","-0,392427094","-0,31687651","-0,098304997","-0,166453991","-0,243833232","-0,181949732"
4,0,0,1832092,40136,1105732,0,0,0,0,11633,536,1,51,48,0,0,"-0,405242917","-0,357870313","-0,331596295","-0,059269192","-0,181241236","-0,180995951","-0,161642734"
2,0,0,1832772,40136,1105732,0,0,0,0,9397,656,2,51,47,0,0,"0,2097185198","0,1094007332","0,37657699","-0,960270953","-0,563950958","-0,693204775","-0,506012437"
2,0,0,1822444,40136,1105732,0,0,0,0,10770,441,1,51,49,0,0,"-0,254434465","-0,48443943","-0,064123544","-1,094095773","-0,851858125","-0,184944172","-0,30285304"
3,0,0,1822444,40144,1105732,0,0,0,12,12441,545,1,51,49,0,0,"-0,506266646","-0,406214958","-0,090252589","-0,527538166","-0,283368582","-0,141839029","-0,292647497"
3,0,0,1835452,40144,1105732,0,0,0,4,8652,645,1,52,48,0,0,"0,2367726729","0,0271417156","0,024070448","-0,650466038","-0,266681572","-0,580417926","-0,478194824"
4,0,0,1835452,40144,1105732,0,0,0,232,11710,557,1,51,48,0,0,"-0,182660085","-0,486455403","0,0062262382","0,1863745111","-0,20872527","0,3625511324","-0,704012586"
3,0,0,1835452,40144,1105732,0,0,0,0,11910,546,0,51,49,0,0,"-0,374437276","-0,470523238","-0,24308995","-0,661262897","-0,162885288","-0,126836889","-0,297226009"
3,0,0,1811192,40144,1105748,0,0,0,0,8685,721,1,52,47,0,0,"0,1325015413","0,2594078454","0,1378358336","-0,671590156","-0,099488071","-0,715843973","-0,644602311"
3,0,0,1811192,40152,1105748,0,0,0,32,12203,550,1,51,49,0,0,"-0,517717218","-0,378931363","-0,034915401","-0,539362364","-0,284073463","-0,118685614","-0,378877795"
3,0,0,1829256,40152,1105748,0,0,0,4,9334,688,1,52,47,0,0,"0,1078785355","0,146357037","0,0928402027","-0,61576476","-0,145844545","-0,574015248","-0,516704392"
2,0,0,1816688,40152,1105748,0,0,0,4,10578,563,1,51,48,0,0,"-0,174644543","-0,198153498","0,1452326958","-1,087681585","-0,561831269","-0,357660186","-0,457087628"
3,0,0,1816688,40152,1105748,0,0,0,0,12080,556,1,51,49,0,0,"-0,487500034","-0,351752981","-0,069345117","-0,567428197","-0,261130905","-0,211331774","-0,295280171"
3,0,0,1816688,40152,1105748,0,0,0,0,11666,548,1,50,49,0,0,"-0,404856953","-0,413427101","-0,040782516","-0,581736418","-0,283485528","-0,266388604","-0,285995671"
4,0,0,1816688,40160,1105748,0,0,0,48,12064,559,1,51,49,0,0,"-0,511320798","-0,396156839","-0,183250259","-0,043438031","-0,061550917","-0,057654309","-0,301121772"
4,0,0,1816688,40160,1105748,0,0,0,0,12435,534,0,51,49,0,0,"-0,65820668","-0,493865487","-0,41913836","-0,200988834","0,0507047782","-0,022082289","-0,207788703"
2,0,0,1809576,40160,1105748,0,0,0,0,9137,653,1,51,48,0,0,"0,0834730629","0,0293049371","0,3006250539","-1,159910894","-0,390289481","-0,626455643","-0,611430335"
3,0,0,1826972,40160,1105748,0,0,0,4,11551,562,1,51,48,0,0,"-0,344008725","-0,275535123","-0,049702021","-0,554304497","-0,30119059","-0,223183876","-0,278313596"
3,0,0,1826972,40160,1105748,0,0,0,0,12252,550,1,50,49,0,0,"-0,441598683","-0,449339036","-0,034772225","-0,542914196","-0,239620421","-0,201986835","-0,220014561"
3,0,0,1826720,40168,1105748,0,0,0,16,11551,543,1,51,49,0,0,"-0,344628735","-0,37391308","-0,041925905","-0,564141505","-0,313805199","-0,16528328","-0,270562487"
3,0,0,1810044,40168,1105748,0,0,0,0,8108,616,2,52,47,0,0,"0,1486642204","0,1929375584","0,1672895752","-0,59601462","-0,52404166","-0,6396781","-0,438117696"
3,0,0,1810044,40168,1105748,0,0,0,0,12391,606,1,51,49,0,0,"-0,546856928","-0,263868985","0,0327571699","-0,568452701","-0,098600326","-0,248868303","-0,341134479"
3,0,0,1810044,40168,1105760,0,0,0,4,11580,547,1,51,48,0,0,"-0,466893323","-0,269081566","-0,047680945","-0,586994578","-0,333161961","-0,197809128","-0,305283495"
2,0,0,1825976,40168,1105760,0,0,0,4,7758,606,1,52,47,0,0,"0,340120693","0,107368944","0,2092143712","-1,180305571","-0,634161543","-0,584395431","-0,548415801"
4,0,0,1825976,40176,1105764,0,0,0,16,10653,555,3,50,48,0,0,"-0,203150307","-0,189685765","0,1049935102","0,1365040279","-0,410424361","-0,39515742","-0,070109635"
4,0,0,1825728,40176,1105764,0,0,0,4,11655,540,1,51,48,0,0,"-0,460988876","-0,328717068","-0,247520564","-0,082485995","-0,134502954","-0,123889346","-0,128186453"
4,0,0,1825728,40176,1105764,0,0,0,0,12025,538,2,50,49,0,0,"-0,472077132","-0,398843872","-0,080087118","0,0374953284","-0,203158458","-0,225935333","-0,031176986"
