r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
4,0,0,1772560,38688,1150372,0,0,0,8,6156,494,0,52,48,0,0,"0,2524577118","-0,169545","-0,367094478","-0,24915536","-0,024059871","-0,172949068","-0,295074763"
3,0,0,1747660,38700,1150452,0,0,16,0,4548,640,31,65,4,0,0,"-1,60529016","1,197655169","1,0788948852","-0,05518669","-0,058741709","0,7245292139","-1,128751965"
3,0,0,1738840,38716,1150928,0,0,568,76,6572,556,5,57,38,1,0,"-0,150635174","0,3395696922","-0,108805267","-0,272136831","-0,004906114","0,0523529117","-0,830133158"
3,0,0,1738840,38716,1150928,0,0,0,0,7967,485,0,51,49,0,0,"0,2977128414","-0,372415937","-0,440934882","-0,319462316","0,083122315","-0,089804028","-0,594757361"
4,0,0,1738840,38716,1150928,0,0,0,0,7690,493,0,51,49,0,0,"0,3947149131","-0,333762035","-0,25538078","-0,190256671","0,0521246003","-0,14282484","-0,26612501"
4,0,0,1738840,38716,1150928,0,0,0,0,9300,484,0,51,49,0,0,"0,5654679931","-0,441858022","-0,086400362","-0,124537896","0,1383775436","-0,113322783","-0,298110401"
0,0,1738840,38724,1150920,0,0,0,32,17189,84,0,97,3,0,0,,"-11,17382521","-2,765061223","0,0596218756","-1,099616989","-0,056662131","0,6281302182","2,3649896373"
6,0,0,1725192,38724,1150908,0,0,0,4,6699,602,1,53,47,0,0,"0,5049410004","-0,061468856","0,1825591849","0,0849034893","-0,073079497","-0,068931152","0,3593921945"
5,0,0,1725192,38724,1150908,0,0,0,0,9820,474,0,51,49,0,0,"0,7317842235","-0,471843955","0,1967324417","0,0340551577","0,1636911158","-0,170212413","0,0099766404"
5,0,0,1725192,38724,1150908,0,0,0,0,10563,487,0,51,49,0,0,"0,8140948361","-0,509161768","0,2676046265","0,0682710484","0,1914216839","-0,129494444","0,0040614737"
3,0,0,1725192,38724,1150908,0,0,0,0,9412,473,0,51,49,0,0,"0,4377212365","-0,477512892","-0,279332997","-0,261443514","0,1673758524","-0,066595034","-0,623214168"
2,0,0,1725192,38724,1150908,0,0,0,0,10058,478,0,51,49,0,0,"0,3829363929","-0,529905853","-0,432402087","-0,372173406","0,2075393779","0,0169871152","-0,951409678"
3,0,0,1725192,38732,1150900,0,0,0,24,8981,493,0,51,49,0,0,"0,3918319327","-0,436655125","-0,330650182","-0,275441566","0,1322071378","-0,046054641","-0,604047836"
3,0,0,1725192,38732,1150900,0,0,0,4,8810,480,1,51,49,0,0,"0,3444197204","-0,438438187","-0,334802207","-0,282116087","0,1308343225","-0,063719313","-0,597828826"
4,0,0,1725192,38732,1150900,0,0,0,0,8595,490,0,51,49,0,0,"0,4786648478","-0,398221198","-0,152935908","-0,152926738","0,1032361936","-0,120058979","-0,28076845"
5,0,0,1725192,38732,1150900,0,0,0,0,9044,496,1,51,49,0,0,"0,623526438","-0,410648464","0,1169839202","0,0095238091","0,1079030114","-0,148468574","0,0457972237"
5,0,0,1725192,38732,1150900,0,0,0,0,9777,483,0,51,49,0,0,"0,7290049397","-0,462539428","0,1885872621","0,0342829941","0,1552194506","-0,157158632","0,0153489694"
5,0,0,1725192,38740,1150892,0,0,0,12,12850,491,0,51,49,0,0,"1,0581778922","-0,650898792","0,5012873118","0,1652292866","0,302277704","-0,060742888","-0,031950641"
4,0,0,1725192,38740,1150892,0,0,0,0,7800,477,1,51,49,0,0,"0,3612090937","-0,361470661","-0,220125829","-0,186189381","0,0711416066","-0,154132439","-0,262674215"
3,0,0,1749216,38740,1150908,0,0,0,4,6089,566,0,51,49,0,0,"0,1217444451","-0,190877958","-0,673391349","-0,380159692","-0,070174281","-0,014934979","-0,522560134"
3,0,0,1748224,38740,1150908,0,0,0,0,5430,671,2,55,44,0,0,"-0,031719365","0,1559517104","-0,477102596","-0,349234967","-0,135490174","0,2225974801","-0,646767552"
3,0,0,1748224,38740,1150904,0,0,0,0,6928,489,1,51,49,0,0,"0,1660922805","-0,304249276","-0,545935199","-0,359096775","0,0241371072","-0,105651858","-0,565312304"
3,0,0,1748224,38748,1150908,0,0,0,32,8849,477,1,51,49,0,0,"0,3645548174","-0,435439763","-0,342173839","-0,281487255","0,1283477953","-0,071587387","-0,602084976"
4,0,0,1748224,38748,1150908,0,0,0,0,9282,481,0,51,49,0,0,"0,5714331339","-0,439343184","-0,092723946","-0,125931689","0,136782244","-0,120559886","-0,30091128"
2,0,0,1773652,38748,1150908,0,0,0,8,7143,555,0,53,47,0,0,"0,1156956093","-0,163047862","-0,659936148","-0,466220551","0,0158391932","0,0830854592","-0,970699303"
3,0,0,1773652,38748,1150908,0,0,0,60,9897,335,0,51,49,0,0,"0,4961444306","-0,593133302","-0,19884283","-0,273027107","0,2748507086","-0,280247321","-0,706851409"
