r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
3,0,0,1195116,34288,1747996,0,0,0,16,11580,395,1,51,49,0,0,"-0,119746799","-0,518207257","-0,39603826","0,7176584545","-0,509296613","-0,318784294","0,065710529"
3,0,0,1195116,34288,1747996,0,0,0,4,11771,433,1,50,49,0,0,"-0,092595273","-0,470217033","-0,345125657","0,5718551008","-0,52827766","-0,388236012","-0,075184087"
2,0,0,1174284,34288,1747996,0,0,0,4,9064,501,0,52,48,0,0,"-0,454346126","-0,30723867","-0,223161858","-0,148981656","0,0800505131","-0,987425889","-0,114044102"
2,0,0,1174284,34288,1747996,0,0,0,0,11974,385,0,51,49,0,0,"-0,279218459","-0,854764358","-0,441601402","0,4847035549","-0,253197374","-0,843878343","0,4973542365"
2,0,0,1172492,34288,1747996,0,0,0,0,10277,431,0,51,49,0,0,"-0,421887945","-0,622503214","-0,316214047","0,1833200619","-0,073098393","-0,860731757","0,2219951304"
2,0,0,1194016,34296,1748000,0,0,0,32,8484,419,1,51,48,0,0,"-0,600705594","-0,436736684","-0,127350893","0,1027769153","-0,029544961","-0,74181751","0,2043196251"
2,0,0,1180408,34324,1748772,0,0,676,28,11555,507,27,57,16,1,0,"1,1569723313","3,0739153175","2,3321310751","-0,584422459","-3,494753833","-1,348730103","2,814320326"
3,0,0,1170048,34324,1748772,0,0,0,16,9853,495,5,54,42,0,0,"0,1929229656","0,2959862267","0,099973433","0,2384256449","-0,72616753","-0,544471734","-0,226355795"
3,0,0,1133508,34344,1749268,0,0,584,0,8840,576,30,64,6,1,0,"1,6863244451","4,2585013669","2,5076205456","-0,629232451","-3,649748888","-1,10444062","2,1869415433"
3,0,0,1133508,34344,1749332,0,0,0,0,12008,425,0,51,49,0,0,"0,0884125466","-0,57606441","-0,466639525","0,5504918561","-0,341854192","-0,324039366","-0,016142209"
2,0,0,1154532,34344,1749340,0,0,0,0,5304,707,0,53,47,0,0,"-0,551836963","0,4890864438","0,154826274","-1,261523019","0,5909587747","-1,189850371","-1,095923167"
2,0,0,1122892,34344,1749332,0,0,0,8,829,872,1,56,44,0,0,"-0,684384318","1,4123257797","0,530970236","-2,169811645","1,0066639884","-1,437823722","-1,931305304"
4,0,0,1118396,34352,1749332,0,0,0,56,7451,528,0,53,47,0,0,"0,0054287607","0,3328108465","-0,293430422","0,1549097688","0,0002594471","0,1320814321","-1,047693002"
4,0,0,1118396,34352,1749332,0,0,0,8,11431,429,0,51,49,0,0,"0,2634449389","-0,309790988","-0,52325091","0,774593829","-0,442735868","0,2249820886","-0,451464072"
4,0,0,1178336,34352,1749328,0,0,0,0,10661,605,2,52,47,0,0,"0,344776954","0,3823628005","-0,143213322","0,0895912066","-0,556581644","-0,143784966","-1,12872505"
4,0,0,1168356,34352,1749324,0,0,0,0,9563,627,1,53,46,0,0,"0,2770911453","0,5209639752","-0,207478957","-0,050548314","-0,310398236","-0,179326434","-1,296764607"
6,0,0,1168356,34352,1749324,0,0,0,0,11573,425,0,51,49,0,0,"0,5908427993","0,1502742689","-0,714461833","1,4107069939","-0,822620235","1,2781739745","-1,232525955"
4,0,0,1181756,34360,1749324,0,0,0,28,8215,472,0,52,48,0,0,"-0,099978456","0,1179261192","-0,340906771","0,4137516769","-0,126468503","0,2809707504","-0,806422139"
4,0,0,1180016,34360,1749324,0,0,0,0,10858,256,0,51,49,0,0,"-0,031126198","-0,65197243","-0,6443859","1,4046568661","-0,477267244","0,6526642935","0,1854036762"
4,0,0,1180016,34360,1749324,0,0,0,12,10208,409,1,51,49,0,0,"0,0504454883","-0,190740968","-0,363040033","0,7695919248","-0,471217005","0,35907396","-0,423333467"
2,0,0,1175736,34360,1749324,0,0,40,0,9350,458,0,51,49,0,0,"-0,424048861","-0,510240642","-0,196664034","-0,069354484","0,0937643593","-0,74725397","0,097111735"
2,0,0,1166328,34360,1749364,0,0,0,0,8203,375,1,51,49,0,0,"-0,568763467","-0,587181749","-0,115034918","0,1518314516","0,0524901667","-0,512832419","0,3939467504"
2,0,0,1166328,34360,1749364,0,0,0,4,9906,419,0,51,49,0,0,"-0,37918597","-0,65066109","-0,260446293","0,1167879536","0,028768159","-0,693548397","0,2839003629"
2,0,0,1178452,34368,1749364,0,0,0,16,7825,528,1,51,48,0,0,"-0,476829068","-0,158619638","0,0508562275","-0,452001263","0,1502132847","-0,821465066","-0,224237036"
4,0,0,1178452,34368,1749364,0,0,0,0,10502,483,1,51,48,0,0,"0,1738736746","-0,008754803","-0,31064458","0,5073139539","-0,467013613","0,1854065291","-0,688246691"
4,0,0,1178452,34368,1749376,0,0,0,4,9372,423,1,51,49,0,0,"-0,016874257","-0,100065127","-0,305393481","0,643630246","-0,379119614","0,3834908735","-0,520839191"
4,0,0,1178452,34368,1749376,0,0,0,0,10566,415,0,51,49,0,0,"0,0762117872","-0,251868901","-0,476100111","0,7678872428","-0,376753905","0,3393478745","-0,453963803"
2,0,0,1159636,34368,1749376,0,0,0,0,8578,513,1,51,49,0,0,"-0,397988462","-0,288667978","0,0004074099","-0,357611739","0,0833775655","-0,814630875","-0,124028625"
3,0,0,1159636,34376,1749376,0,0,0,20,11824,437,0,51,49,0,0,"0,070223078","-0,528655426","-0,417295764","0,4673152186","-0,297542615","-0,279910716","-0,066675942"
4,0,0,1159636,34376,1749376,0,0,0,0,9637,403,1,51,49,0,0,"0,0358723255","-0,180432675","-0,334914455","0,722412002","-0,397627908","0,4232270501","-0,418131645"
3,0,0,1159636,34376,1749376,0,0,0,0,9326,399,0,51,49,0,0,"-0,229176184","-0,439656937","-0,334781066","0,424615626","-0,078886632","-0,076415212","-0,055483101"
3,0,0,1159636,34376,1749376,0,0,0,4,8973,419,1,51,49,0,0,"-0,222232257","-0,319786114","-0,193771532","0,3168852966","-0,155995576","-0,098760946","-0,122917223"
4,0,0,1159388,34376,1749376,0,0,0,0,11034,418,0,51,49,0,0,"0,1696817451","-0,291706168","-0,493310558","0,7745349651","-0,404549425","0,3196688033","-0,43067635"
4,0,0,1159388,34384,1749376,0,0,0,12,11899,417,0,51,49,0,0,"0,2709500265","-0,358949694","-0,528766009","0,8347377429","-0,477863487","0,2932636022","-0,375084339"
4,0,0,1159388,34384,1749376,0,0,0,0,13715,391,1,51,49,0,0,"0,4739990923","-0,506619125","-0,539161371","1,0605458254","-0,780945822","0,2652378021","-0,14020586"
4,0,0,1159388,34384,1749376,0,0,0,0,12945,399,0,51,49,0,0,"0,368783499","-0,477950495","-0,598612396","0,9791044775","-0,585650656","0,2817554569","-0,245747554"
5,0,0,1159388,34384,1749376,0,0,0,132,10706,424,0,51,49,0,0,"0,3502431504","-0,028921318","-0,536381179","1,031333776","-0,519489074","0,8500071491","-0,86579468"
2,0,0,1172272,34384,1749376,0,0,0,4,8028,497,0,52,48,0,0,"-0,457302021","-0,273061491","-0,111193863","-0,321520674","0,2686259149","-0,762204291","-0,110803043"
2,0,0,1172272,34392,1749376,0,0,0,16,11543,260,0,51,49,0,0,"-0,304787106","-1,157559536","-0,464056968","0,8105485138","-0,161638022","-0,375280231","1,0150797827"
2,0,0,1166648,34392,1749376,0,0,0,0,10812,464,1,50,49,0,0,"-0,205809649","-0,600749326","-0,109987983","-0,044191267","-0,143161559","-0,753591733","0,2008194268"
3,0,0,1150968,34392,1749376,0,0,0,0,8892,405,0,52,48,0,0,"-0,193995451","-0,345410483","-0,330768311","0,3707490837","-0,006643433","-0,078000723","-0,085344638"
3,0,0,1150968,34392,1749376,0,0,0,40,11574,419,0,51,49,0,0,"0,0614945912","-0,563445716","-0,408759255","0,4982780266","-0,260176366","-0,204318959","-7,671605e-7"
2,0,0,1177032,34392,1749376,0,0,0,0,10902,477,0,51,49,0,0,"-0,208394676","-0,586867597","-0,23186038","-0,063316242","-0,016557735","-0,807751837","0,1221901592"
3,0,0,1165608,34400,1749376,0,0,0,20,9584,375,0,51,49,0,0,"-0,20378063","-0,51972788","-0,349004385","0,5125441411","-0,090449314","0,0048222614","0,0626319438"
4,0,0,1165608,34400,1749376,0,0,0,4,12126,427,1,51,49,0,0,"0,3392425366","-0,306487565","-0,415576707","0,790561428","-0,60280994","0,2941710169","-0,365087095"
4,0,0,1165608,34400,1749376,0,0,0,0,12160,421,0,51,49,0,0,"0,3091981554","-0,369635353","-0,527957545","0,8213874865","-0,489806276","0,301947276","-0,370627968"
2,0,0,1157096,34400,1749376,0,0,0,0,11173,480,0,51,49,0,0,"-0,13464699","-0,612959282","-0,239608149","-0,071581141","-0,025347892","-0,818091045","0,1347670792"
