procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1794228  40376 1107112    0    0     0     4 12452  526  0 51 49  0  0
 5  0      0 1794228  40376 1107116    0    0     0     0 12468  549  1 51 49  0  0
 5  0      0 1794228  40384 1107116    0    0     0    12 12247  548  0 51 49  0  0
 6  0      0 1792884  40384 1107116    0    0     0     0 12044  537  0 51 49  0  0
 5  0      0 1792884  40384 1107116    0    0     0     0 11994  536  1 51 49  0  0
 6  0      0 1792884  40384 1107116    0    0     0    72 12147  531  0 51 49  0  0
 6  0      0 1792884  40384 1107116    0    0     0     8 12025  530  1 51 49  0  0
 6  0      0 1792884  40392 1107116    0    0     0    24 11756  538  0 51 49  0  0
 5  0      0 1763132  40392 1107116    0    0     0     0 7975  772  0 53 47  0  0
 5  0      0 1768964  40392 1107128    0    0     0     0 3589  954  1 54 45  0  0
 4  0      0 1784960  40392 1107128    0    0     0     0 7952  703  1 56 44  0  0
 5  0      0 1784960  40400 1107128    0    0     0    52 12267  565  0 51 49  0  0
 6  0      0 1784960  40404 1107124    0    0     4     4 12097  543  0 51 49  0  0
 7  0      0 1784472  40412 1107320    0    0   252     0 11673  626  2 52 47  0  0
 7  0      0 1816728  40412 1107392    0    0     0     4 11509  587  2 53 46  0  0
 8  0      0 1858896  40412 1107392    0    0     0     0 11714  766  4 52 44  0  0
 8  0      0 1858676  40412 1107384    0    0     0     0 12021  529  1 50 49  0  0
 7  0      0 1848992  40436 1107368    0    0    12   112 12613  661  1 52 47  0  0
 6  0      0 1848252  40460 1108688    0    0  1248     4 5042 1065  6 55 38  2  0
 6  0      0 1847788  40460 1108704    0    0     0     0 12258  672  2 50 48  0  0
 6  0      0 1847788  40460 1108704    0    0     0     0 12424  521  1 50 48  0  0
 8  0      0 1847788  40460 1108704    0    0     0     0 12505  535  1 51 48  0  0
 8  0      0 1847788  40460 1108704    0    0     0     0 11879  523  1 50 49  0  0
 8  0      0 1847788  40468 1108704    0    0     0   144 11621  540  1 50 48  0  0
 8  0      0 1847788  40468 1108704    0    0     0     4 12402  533  1 51 49  0  0
 9  0      0 1846444  40468 1108704    0    0     0     0 11692  538  2 50 48  0  0
 9  0      0 1846444  40468 1108704    0    0     0     0 11827  534  1 50 49  0  0
 3  0      0 1842080  40924 1115196    0    0  4343     0 9323 3041  4 66 26  5  0
 4  0      0 1842080  40932 1115352    0    0     0    40 11984  534  1 50 49  0  0
 5  0      0 1842080  40932 1115352    0    0     0     0 12157  534  1 51 49  0  0
 3  0      0 1842080  40932 1115352    0    0     0     4 12806  533  1 51 49  0  0
 4  0      0 1842080  40932 1115352    0    0     0     0 12276  549  1 51 48  0  0
 2  0      0 1849096  40932 1115452    0    0   112     4 8157  878  3 51 46  0  0
 4  0      0 1849096  40932 1115448    0    0     0     0 11238  527  1 51 48  0  0
 4  0      0 1849096  40940 1115448    0    0     0    16 12391  554  1 50 49  0  0
 4  0      0 1849096  40940 1115448    0    0     0     0 12020  491  1 50 48  0  0
 3  0      0 1849096  40940 1115448    0    0     0     4 11574  499  1 51 48  0  0
 4  0      0 1849096  40940 1115448    0    0    24     0 11837  588  1 51 49  0  0
 3  0      0 1832516  40940 1115472    0    0     0     0 8933  795  2 52 47  0  0
