procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1773364  38780 1150904    0    0     0    16 9903  491  0 51 49  0  0
 6  0      0 1773364  38780 1150904    0    0     0    12 9965  484  0 51 49  0  0
 6  0      0 1773364  38780 1150904    0    0     0     0 9615  533  1 51 49  0  0
 6  0      0 1773364  38780 1150904    0    0     0     0 9817  487  0 51 49  0  0
 5  0      0 1773364  38780 1150904    0    0     0     0 8942  485  0 51 49  0  0
 6  0      0 1773364  38788 1150896    0    0     0    44 10222  496  0 51 49  0  0
19  0      0 1773364  38788 1150896    0    0     0     0 15110  475  0 66 34  0  0
 5  0      0 1772244  38788 1150896    0    0     0     4 10038  468  1 51 49  0  0
 5  0      0 1770428  38788 1150896    0    0     0     0 11035  361  0 66 34  0  0
 6  0      0 1770428  38788 1150896    0    0     0     0 8852  485  0 51 49  0  0
 6  0      0 1770428  38796 1150888    0    0     0    12 9369  493  0 51 49  0  0
 6  0      0 1770428  38796 1150888    0    0     0     0 9263  477  0 51 49  0  0
 3  0      0 1783492  38796 1150912    0    0     0     0 7417  554  0 52 48  0  0
 3  0      0 1783240  38796 1150912    0    0     0     4 10225  500  0 51 49  0  0
 3  0      0 1783240  38796 1150912    0    0     0     0 9421  491  0 51 49  0  0
 3  0      0 1783240  38804 1150912    0    0     0    20 9546  493  1 50 49  0  0
 3  0      0 1783240  38804 1150912    0    0     0     0 9862  486  0 51 49  0  0
 5  0      0 1783240  38804 1150912    0    0     0     0 9358  489  1 51 49  0  0
 5  0      0 1783240  38804 1150912    0    0     0     0 9352  484  0 51 49  0  0
 5  0      0 1783240  38804 1150912    0    0     0     4 10120  480  0 51 49  0  0
 6  0      0 1783240  38812 1150912    0    0     0    20 9962  509  0 51 49  0  0
 7  0      0 1781672  38812 1150912    0    0     0     0 9117  485  0 51 49  0  0
 7  0      0 1781672  38812 1150912    0    0     0     0 10017  490  1 51 49  0  0
 7  0      0 1781420  38812 1150912    0    0     0     0 9465  531  1 51 49  0  0
 7  0      0 1781420  38812 1150912    0    0     0     0 9785  496  0 51 49  0  0
 8  0      0 1780076  38820 1150904    0    0     0    36 10477  467  0 54 46  0  0
 8  0      0 1780076  38820 1150904    0    0     0     0 9689  481  0 51 49  0  0
 8  0      0 1778732  38820 1150904    0    0     0     0 9357  471  0 51 49  0  0
 7  0      0 1778732  38820 1150904    0    0     0     4 8705  482  0 51 49  0  0
 9  0      0 1778732  38820 1150904    0    0     0     0 10459  485  0 51 49  0  0
 2  0      0 1770940  38828 1150916    0    0     0    32 4492  805  0 54 46  0  0
 2  0      0 1768924  38828 1150916    0    0     0     8 10589  464  0 51 49  0  0
 3  0      0 1768924  38828 1150916    0    0     0     0 10162  497  1 51 49  0  0
 4  0      0 1768924  38828 1150916    0    0     0     0 10481  469  0 51 49  0  0
 4  0      0 1768924  38828 1150916    0    0     0     0 10286  484  0 51 49  0  0
 4  0      0 1768924  38836 1150908    0    0     0    28 10146  502  0 51 49  0  0
 4  0      0 1768924  38836 1150908    0    0     0     0 10023  475  1 51 49  0  0
 3  0      0 1768924  38836 1150908    0    0     0     4 9102  527  0 51 49  0  0
 3  0      0 1768924  38836 1150908    0    0     0     0 9693  501  0 51 49  0  0
 3  0      0 1768924  38836 1150908    0    0     0     0 10328  478  0 51 49  0  0
