T;allocated heap
46080;5712456
46140;5381736
46200;5563944
46260;5514448
46320;4954776
46380;5732840
46440;5075032
46500;6693936
46560;6207264
46620;5932776
46680;5809080
46740;5844128
46800;5637448
46860;6239136
46920;6335792
46980;5722192
47040;5648216
47100;5615072
47160;6609384
47220;7024440
47280;5172496
47340;5995240
47400;6062336
47460;5563672
47520;6012536
47580;5783552
47640;5801264
47700;5839920
47760;6178800
47820;5604736
47880;5771440
47940;5525408
48000;5792256
48060;5278624
48120;5520544
48180;5796768
48240;5885608
48300;5866032
48360;5093216
48420;6001056
48480;6244816
48540;6152760
48600;5604440
48660;5862384
48720;5492624
48780;5977304
48840;5504440
48900;5908560
48960;6357680
49020;6164368
49080;5675696
49140;5896520
49200;5723240
49260;6648104
49320;5984624
49380;5985488
49440;5659640
49500;5807144
49560;5511456
49620;6170848
49680;5577216
49740;5962912
49800;5267440
49860;5875264
49920;6629688
49980;6100696
50040;6256936
50100;5755712
50160;6328296
50220;5610168
50280;4883320
50340;5804240
50400;5542208
50460;5971112
50520;5963072
50580;5608424
50640;5847744
50700;5455000
50760;5708808
50820;5916176
50880;5061720
50940;5923344
51000;5710920
51060;5469080
51120;6393088
51180;7264320
51240;6247432
51300;5468376
51360;5774048
51420;5786608
51480;5451832
51540;6283216
51600;5089336
51660;5006448
51720;5779512
51780;5799552
51840;5823184
51900;5721704
51960;5627256
52020;5651232
52080;5699560
52140;5654320
52200;6075808
52260;5388592
52320;5404240
52380;5156120
52440;6147280
52500;5102264
52560;5245904
52620;6211800
52680;5672440
52740;5628448
52800;5329216
52860;5893008
52920;5594680
52980;5825088
53040;5908520
53100;7802848
53160;5857120
53220;5877992
53280;5649072
53340;5441464
53400;5205184
53460;5184888
53520;5834112
53580;5681080
53640;5350408
53700;5261864
53760;6221464
53820;5730112
53880;5063384
53940;5374848
54000;5803760
54060;4933064
54120;5908136
54180;5046632
54240;5520384
54300;6345264
54360;5029264
54420;5886688
54480;5320376
54540;5601192
54600;5267032
54660;5368200
54720;5744888
54780;5351216
54840;5749496
54900;6626744
54960;5826312
55020;5507712
55080;6239312
55140;5769632
55200;6330720
55260;5615472
55320;5360336
55380;5971720
55440;5687080
55500;4645648
55560;6259768
55620;5711320
55680;5466728
55740;6380000
55800;5460656
55860;6896144
55920;5683024
55980;5823800
56040;5710240
56100;5827888
56160;5571544
56220;5321856
56280;5518280
56340;5891784
56400;5616192
56460;5473672
56520;6086168
56580;5972576
56640;7120824
56700;5494536
56760;5604272
56820;5740552
56880;5792512
56940;5097720
57000;6081728
57060;5762040
57120;5153200
57180;5589456
57240;5268896
57300;5512912
57360;5626752
57420;5328096
57480;5040272
57540;5569744
57600;5588384
57660;5623984
57720;5025696
57780;5901096
57840;5846936
57900;6011816
57960;6024608
58020;4715672
58080;6280928
58140;5373952
58200;5109528
58260;5559696
58320;6951304
58380;5781168
58440;7021184
58500;5586568
58560;6165896
58620;7277552
58680;6197832
58740;6001328
58800;5254080
58860;5435256
58920;5819664
58980;6130752
59040;5623200
59100;5846248
59160;5915712
59220;5947456
59280;5759848
59340;5908784
59400;6095416
59460;5423688
59520;7305280
59580;5917416
59640;5825784
59700;5591920
59760;6122936
59820;5090504
59880;5517488
59940;5826448
60000;5588448
60060;6402536
60120;5616232
60180;5910720
60240;6186880
60300;5612024
60360;5712096
60420;5850760
60480;6865616
60540;5443464
60600;5856888
60660;5937264
60720;5786512
60780;6218864
60840;6228192
60900;5484184
60960;5658632
61020;6016304
61080;5500336
61140;5915280
61200;5333784
61260;5897352
61320;5866504
61380;5497440
61440;5752112
61500;6030664
61560;6387120
61620;5688936
61680;6056800
61740;5995664
61800;6193904
61860;5660872
61920;5740856
61980;5556560
62040;5114896
62100;5749848
62160;5897080
62220;5855952
62280;5521992
62340;5942328
62400;6916856
62460;5551792
62520;6239160
62580;5754512
62640;5658352
62700;5285944
62760;5901560
62820;5528568
62880;5436920
62940;6380240
63000;6382488
63060;6047680
63120;5371904
63180;6489520
63240;6361696
63300;6219296
63360;5633840
63420;5718360
63480;4720176
63540;5954032
63600;5769384
63660;5797192
63720;5497416
63780;5038328
63840;5790640
63900;5569456
63960;5893376
64020;5268040
64080;5595704
64140;5168960
64200;5612176
64260;5483232
64320;5581024
64380;6727096
64440;5654976
64500;5453728
64560;5783544
64620;5245672
64680;6663088
64740;7019872
64800;7047368
64860;5989584
64920;5593856
64980;5949920
65040;5587688
65100;6063048
65160;5836152
65220;5586480
65280;6205904
65340;5759304
65400;5515568
65460;5178728
65520;5955464
