TIME;LIN2_VmSize;LIN2_VmData;LIN2_RSS;LIN2_byte_letti__sec;LIN2_byte_scritti__sec;;;;;;
27360;735284;666908;42972;76310349;63614853;;;;;;
27480;735284;666908;42976;88999778;67251747;;;;;;
27600;735284;666908;42976;87433865;71071967;;;;;;
27720;735284;666908;42976;83670121;62535133;;;;;;
27840;735284;666908;42976;81770739;65839547;;;;;;
27960;735284;666908;42976;72267085;60962523;;;;;;
28080;735284;666908;42976;82373024;67205173;;;;;;
28200;735284;666908;42976;76845318;62532231;;;;;;
28320;735284;666908;42976;75452789;62291979;;;;;;
28440;735284;666908;42976;81887818;64871646;;;;;;
28560;735284;666908;42976;76936998;62055165;;;;;;
28680;735284;666908;42976;79607871;65155639;;;;;;
28800;735284;666908;42976;78276613;68382562;;;;;;
28920;735284;666908;42976;80803094;63302458;;;;;;
29040;735284;666908;42976;83636673;66773645;;;;;;
29160;735284;666908;42976;85123672;67762778;;;;;;
29280;735284;666908;42976;77122976;63155079;;;;;;
29400;735284;666908;42976;90629092;67889998;;;;;;
29520;735284;666908;42976;78904970;65416675;;;;;;
29640;735284;666908;42976;83698671;68322083;;;;;;
29760;735284;666908;42976;81500474;62701021;;;;;;
29880;735284;666908;42976;86941336;64910650;;;;;;
30000;735284;666908;42976;74722528;63261116;;;;;;
30120;735284;666908;42976;80189469;66990152;;;;;;
30240;735284;666908;42976;80442176;62686658;;;;;;
30360;735284;666908;42976;81393039;66959214;;;;;;
30480;735284;666908;42976;82294966;66887294;;;;;;
30600;735284;666908;42976;80930586;65435468;;;;;;
30720;735284;666908;42976;86338764;67593422;;;;;;
30840;735284;666908;42976;79683775;66502596;;;;;;
30960;735284;666908;42976;82761640;63974471;;;;;;
31080;735284;666908;42976;85280314;64834859;;;;;;
31200;735284;666908;42768;86693154;68886074;;;;;;
31320;735284;666908;42768;85329953;65208231;;;;;;
31440;735284;666908;42604;84699165;61955559;;;;;;
31560;735284;666908;42604;79919744;64394612;;;;;;
31680;735284;666908;42604;87279913;65464361;;;;;;
31800;735284;666908;42604;86680579;66898442;;;;;;
31920;735284;666908;42604;85216332;65232262;;;;;;
32040;735284;666908;42604;86785996;67383203;;;;;;
32160;735284;666908;42604;78280146;64154499;;;;;;
32280;735284;666908;42604;87060540;69524450;;;;;;
32400;735284;666908;42476;77775263;66301715;;;;;;
32520;735284;666908;42476;80537266;64635672;;;;;;
32640;735284;666908;42476;78620598;68549132;;;;;;
32760;735284;666908;42476;79392457;63823260;;;;;;
32880;735284;666908;42476;81401194;66775297;;;;;;
33000;735284;666908;42476;87925007;69065574;;;;;;
33120;735284;666908;42476;82145173;61459166;;;;;;
33240;735284;666908;42476;84191067;64186067;;;;;;
33360;735284;666908;42476;88945052;69950451;;;;;;
33480;735284;666908;42476;77390297;62640778;;;;;;
33600;735284;666908;42476;83604242;66767036;;;;;;
33720;735284;666908;42476;78623052;61940072;;;;;;
33840;735284;666908;42476;81086409;64509603;;;;;;
33960;735284;666908;42476;77911338;64179094;;;;;;
34080;735284;666908;42476;89601851;68471600;;;;;;
34200;735284;666908;42280;85042015;66997675;;;;;;
34320;735284;666908;42280;82840520;65246602;;;;;;
34440;735284;666908;42280;83653646;65604624;;;;;;
34560;735284;666908;42280;82396369;67100273;;;;;;
34680;735284;666908;42280;88262163;65038122;;;;;;
34800;735284;666908;42280;82501926;69112855;;;;;;
34920;735284;666908;42280;86980940;67897305;;;;;;
35040;735284;666908;42280;79095740;62355450;;;;;;
35160;735284;666908;42280;76668746;62970222;;;;;;
35280;735284;666908;42280;88821183;67238467;;;;;;
35400;735284;666908;42280;83860291;65194551;;;;;;
35520;735284;666908;42280;86207195;65462958;;;;;;
35640;735284;666908;42280;77742553;60850866;;;;;;
35760;735284;666908;42280;84191551;67867203;;;;;;
35880;735284;666908;42280;79424123;63962387;;;;;;
36000;735284;666908;42280;77090186;62751476;;;;;;
36120;735284;666908;42280;81424874;61243763;;;;;;
36240;735284;666908;42280;83584813;66413993;;;;;;
36360;735284;666908;42280;81614132;63699589;;;;;;
36480;735284;666908;42280;81967289;65697158;;;;;;
36600;735284;666908;42280;80902283;64024264;;;;;;
36720;735284;666908;42280;80763036;61974777;;;;;;
36840;735284;666908;42280;78453689;66332016;;;;;;
36960;735284;666908;42280;82452251;62288187;;;;;;
37080;735284;666908;42280;79949271;66249598;;;;;;
37200;735284;666908;42280;82529253;65799339;;;;;;
37320;735284;666908;42280;77615835;63583306;;;;;;
37440;735284;666908;42280;82656469;63512751;;;;;;
37560;735284;666908;42280;86599756;66395642;;;;;;
37680;735284;666908;42280;80576775;67656466;;;;;;
37800;735284;666908;42280;86637702;68854567;;;;;;
37920;735284;666908;42280;77255526;61375636;;;;;;
38040;735284;666908;42280;91753933;69199593;;;;;;
38160;735284;666908;42280;81341525;67008859;;;;;;
38280;735284;666908;42280;86553060;69299351;;;;;;
38400;735284;666908;42280;87527298;68063329;;;;;;
38520;735284;666908;42280;86140788;67834668;;;;;;
38640;735284;666908;42280;81708894;63811964;;;;;;
38760;735284;666908;42280;82395662;64273352;;;;;;
38880;735284;666908;42280;83181055;67609553;;;;;;
39000;735284;666908;42280;83867022;67570021;;;;;;
39120;735284;666908;42280;83895869;64823354;;;;;;
39240;735284;666908;42280;81656634;67648771;;;;;;
39360;735284;666908;42280;79837559;62218666;;;;;;
39480;735284;666908;42280;81583832;65820401;;;;;;
39600;735284;666908;42280;83353341;67541859;;;;;;
39720;735284;666908;42280;85654218;63924478;;;;;;
39840;735284;666908;42280;81548334;64037503;;;;;;
39960;735284;666908;42280;79559193;68616993;;;;;;
40080;735284;666908;42280;77895242;62489269;;;;;;
40200;735284;666908;42280;81479315;65569265;;;;;;
40320;735284;666908;42280;81207727;64502746;;;;;;
40440;735284;666908;42280;85201200;66020750;;;;;;
40560;735284;666908;42280;77501483;64156284;;;;;;
40680;735284;666908;42280;82599429;65076311;;;;;;
