Tempo privilegiato,Tempo processore,Tempo utente,Altre operazioni IO,Altri byte IO,Byte dati IO,Byte del file di paging,Byte del pool di paging,Byte del pool non-paging,Byte letti IO,Byte massimi file di paging,Byte privati,Byte scritti IO,Byte virtuali,Conteggio degli handle,Conteggio thread,Creazione ID processo,Errori di pagina,ID processo,Massimo valore byte virtuali,Max working set,Operazioni dati IO,Operazioni lettura IO,Operazioni scrittura IO,Priorità base,Tempo trascorso,Working set,Working set - Privato,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9
0,"290,84542878","290,84542878",0,0,0,4762263552,341504,19352,0,4762353664,4762263552,0,9282781184,291,21,16052,"65,262532188",22912,9294405632,4719935488,0,0,0,8,"356,9973024",4719935488,4714364928,"66,756339158","-25,71503597","-194,1983543","39,468158277","65,851021948","56,261581766","-41,62892854","-79,80363132","-14,08146839"
"4,158833227","262,0064933","257,84766008",0,0,0,4762263552,341504,19352,0,4762353664,4762263552,0,9282781184,291,21,16052,0,22912,9294405632,4719935488,0,0,0,8,"360,0029531",4719935488,4714364928,"66,414842599","-25,52434049","-200,5669295","44,009352324","67,384049073","55,435749801","-35,0290834","-76,67419388","-7,696250147"
"2,0928174238","284,62316964","282,53035221",0,0,0,4762263552,341504,19352,0,4762353664,4762263552,0,9282781184,291,21,16052,0,22912,9294405632,4719935488,0,0,0,8,"362,9893579",4719935488,4714364928,"65,52000182","-25,61099463","-197,4803807","40,545920564","67,468439906","54,999785275","-35,20067794","-77,97079968","-7,689594071"
0,"239,5988236","239,5988236",0,0,0,4762263552,341504,19352,0,4762353664,4762263552,0,9282781184,291,21,16052,0,22912,9294405632,4719935488,0,0,0,8,"366,0087279",4719935488,4714364928,"66,651745717","-25,58308634","-200,5043197","43,370387061","67,568514608","55,140351846","-36,34232498","-83,99002112","-7,32301386"
"0,5231441833","240,6463243","240,12318012",0,0,0,4762263552,341504,19352,0,4762353664,4762263552,0,9282781184,291,21,16052,0,22912,9294405632,4719935488,0,0,0,8,"368,9954762",4719935488,4714364928,"66,67508587","-25,57216389","-200,6726172","43,615823318","67,54560295","55,192500569","-36,20234875","-83,19244155","-7,360645824"
"4,6845008264","359,66556345","354,98106262","3,6643182051","21,985909231","17,655351352",4762304512,344704,19488,"0,3331198368",4762353664,4762304512,"17,322231515",9283829760,293,22,16052,"48,30237634",22912,9294405632,4719943680,"0,9993595105","0,3331198368","0,6662396737",8,"371,9973969",4719796224,4714057728,"70,431643919","-24,71098486","-177,8253694","46,273650328","58,71466305","54,086952021","-33,65175078","-70,07095861","-9,495303878"
"3,6429546706","451,20595705","447,56300238","2,3315717532","19,318737383","8,3270419756",4761591808,347904,19624,"0,333081679",4762353664,4761591808,"7,9939602965",9284878336,295,23,16052,"26,646534322",22912,9294405632,4719943680,"0,666163358","0,333081679","0,333081679",8,"374,9997675",4719382528,4713644032,"60,75355308","-24,26758386","-159,6454551","47,626404247","52,295510536","51,644124345","-28,13523933","-66,99372423","-6,250728993"
"2,613230832","674,73620083","672,12297",0,0,0,4761591808,347904,19624,0,4762353664,4761591808,0,9284878336,295,23,16052,0,22912,9294405632,4719943680,0,0,0,8,"377,9893618",4719382528,4713644032,"47,231476218","-24,76662435","-141,1062662","25,996181866","53,133975395","49,400956239","-23,73139429","-53,30584939","-5,620321403"
"4,6766178221","679,66845681","674,99183899",0,0,0,4761591808,347904,19624,0,4762353664,4761591808,0,9284878336,295,23,16052,0,22912,9294405632,4719943680,0,0,0,8,"380,9963426",4719382528,4713644032,"47,299509906","-24,72611852","-141,6974203","26,889706689","53,043641282","49,600221365","-23,16792825","-50,10457632","-5,772841023"
"6,2366674602","623,66674602","617,43007856",0,0,0,4761591808,347904,19624,0,4762353664,4761591808,0,9284878336,295,23,16052,0,22912,9294405632,4719943680,0,0,0,8,"384,0027559",4719382528,4713644032,"49,143013045","-24,59367521","-147,5521862","33,13334692","52,988153058","50,262724177","-23,59286349","-51,82174656","-5,571783439"
