'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7
172388,170340,32192,31912,200,57,4664840,102560,1117044,0,408280,895540,4664840,8159224,152,0,84216,23740,108868,7212,315884,1020,0,2,"-3,382414282","-3,63901801","-0,793381602","0,0198014954","-1,547776044","0,3022301278","0,0659127877"
172388,170340,32192,31912,200,48,4665036,102592,1117044,0,408344,895508,4665036,8159224,36,0,84216,23740,108916,7208,315884,1020,0,2,"-3,440024869","-3,617358779","-0,856498879","0,0048808538","-1,470433471","0,2037158347","-0,032109243"
172388,170340,32192,31912,200,36,4664884,102624,1117044,0,408412,895468,4664884,8159224,44,0,84212,23740,108964,7208,317580,1020,0,2,"-3,443403384","-3,643800226","-0,879371243","-0,016420517","-1,34262802","0,0617427501","-0,09578432"
172388,170340,32192,31912,200,28,4664940,102668,1117044,0,408460,895468,4664940,8159224,36,0,84216,23740,108960,7208,315568,1530,0,2,"-3,763331222","-3,585131589","-0,849832881","-0,040791767","-0,280882346","0,9798974666","-0,099501636"
172388,170340,32192,31912,200,9,4665232,102704,1117048,0,408536,895432,4665232,8159224,40,0,84216,23740,108892,7204,315128,1020,0,2,"-3,687602869","-3,617275598","-0,946358612","-0,06952095","-1,04738419","-0,305560954","-0,273616328"
172388,170340,32192,31928,200,9,4664984,102736,1117048,0,408620,895396,4664984,8159224,24,0,84232,23740,108888,7204,315128,1020,0,2,"-3,68310502","-3,616258282","-0,951267989","-0,069794869","-1,045625382","-0,305976165","-0,273728953"
172388,170340,32192,31928,200,58,4665328,102772,1117048,0,408676,895372,4665328,8159224,160,0,84228,23740,108980,7204,312692,1020,0,2,"-3,490907401","-3,559225944","-0,798200109","0,0264766428","-1,613073439","0,3428609009","-0,054848502"
172388,170340,32192,31928,200,53,4664872,102848,1117048,0,408704,895412,4664872,8159224,152,0,84228,23740,108868,7204,316956,1530,0,2,"-3,606174786","-3,59805687","-0,788934276","0,0053466242","-0,547727773","1,309679592","-0,086121928"
172388,170340,32192,31928,200,40,4664480,102936,1117052,0,408716,895504,4664480,8159224,44,0,84232,23740,108984,7208,316764,1530,0,2,"-3,647750523","-3,581696515","-0,829155194","-0,017394806","-0,411353833","1,1454959361","-0,05633751"
172388,170340,32192,31912,200,33,4665272,103028,1117052,0,408712,895572,4665272,8159224,32,0,84212,23740,108872,7208,314512,1530,0,2,"-3,775896641","-3,564713675","-0,848167478","-0,034192176","-0,319209651","1,0246609082","-0,07287111"
172388,170340,32192,31912,200,20,4664756,103120,1117052,0,408720,895668,4664756,8159224,32,0,84216,23740,108892,7208,314512,1530,0,2,"-3,839223285","-3,558351462","-0,870169196","-0,058666606","-0,174603842","0,8535198197","-0,129121806"
172388,170340,32192,31912,200,12,4665084,103208,1117056,0,408716,895760,4665084,8159224,44,0,84212,23740,108868,7204,314404,1530,0,2,"-3,905593611","-3,546337904","-0,898201043","-0,07381281","-0,091398944","0,7518004292","-0,235280784"
172388,170340,32192,31912,200,9,4664488,103308,1117056,0,408724,895852,4664488,8159224,32,0,84216,23740,108884,7208,316480,1530,0,2,"-3,834111401","-3,578164406","-0,899254267","-0,079993343","-0,040763794","0,7114518695","-0,187800431"
172388,170340,32192,31916,200,64,4664412,103380,1117056,0,408748,895908,4664412,8159224,156,0,84220,23740,108904,7208,316480,1530,0,2,"-3,538180659","-3,553876606","-0,749502855","0,0257380238","-0,652441161","1,4361096442","0,0426514449"
172388,170340,32192,31916,200,55,4663988,103472,1117056,0,408760,895984,4663988,8159224,160,0,84220,23740,108924,7208,316476,1530,0,2,"-3,580963677","-3,547457274","-0,762652654","0,0089619121","-0,553071268","1,318241919","0,0034967726"
172388,170340,32192,31916,200,46,4664316,103560,1117056,0,408764,896060,4664316,8159224,24,0,84216,23740,109048,7208,316276,1530,0,2,"-3,622771193","-3,520826553","-0,813878125","-0,004793759","-0,477018125","1,2192120392","-0,01597059"
172388,170340,32192,31916,200,33,4664048,103620,1117056,0,408788,896104,4664048,8159224,44,0,84216,23740,108920,7208,318356,1530,0,2,"-3,63898544","-3,569423449","-0,847671859","-0,033226452","-0,301619543","1,0346964681","-0,091194313"
172388,170340,32192,31916,200,20,4664152,103704,1117056,0,408812,896168,4664152,8159224,36,0,84220,23740,109040,7208,314072,1530,0,2,"-3,830039298","-3,49412144","-0,853119849","-0,055184912","-0,18807003","0,8621490523","-0,117747649"
172388,170340,32192,31916,200,9,4664240,103796,1117056,0,408816,896256,4664240,8159224,44,0,84220,23740,108932,7208,318172,510,0,2,"-3,344448073","-3,633746534","-0,975476088","-0,061610494","-1,987133887","-1,350704425","-0,231115032"
172388,170340,32192,31916,200,9,4663620,103880,1117056,0,408820,896336,4663620,8159224,20,0,84220,23740,108808,7208,318100,1020,0,2,"-3,569823923","-3,601776993","-0,947493863","-0,074145571","-0,983912286","-0,340463938","-0,212485969"
172388,170340,32192,31916,200,61,4663328,103960,1117056,0,408840,896392,4663328,8159224,152,0,84216,23740,108956,7208,318000,1020,0,2,"-3,277914785","-3,561034464","-0,791200287","0,0296139166","-1,58636165","0,3648954531","0,0078134917"
172388,170340,32192,31916,200,47,4663440,104044,1117056,0,408848,896464,4663440,8159224,156,0,84220,23740,108896,7204,315924,1020,0,2,"-3,441003846","-3,527235891","-0,826345696","0,0016867554","-1,434055455","0,1692514625","-0,113582045"
172388,170340,32192,31916,200,39,4663876,104116,1117060,0,408880,896508,4663876,8159224,48,0,84220,23740,108880,7208,315924,1020,0,2,"-3,470309351","-3,536279342","-0,868942216","-0,015162621","-1,331285707","0,0524800398","-0,06599902"
172388,170340,32192,31916,200,32,4663808,104192,1117060,0,408904,896560,4663808,8159224,36,0,84220,23740,108840,7208,318136,1020,0,2,"-3,441650515","-3,572046242","-0,895651634","-0,029540005","-1,239350187","-0,037605081","-0,109499768"
172388,170340,32192,31916,200,19,4663416,104284,1117060,0,408900,896660,4663416,8159224,40,0,84216,23740,108944,7208,317788,1530,0,2,"-3,72221947","-3,519501243","-0,868150235","-0,060222157","-0,135222157","0,8367662252","-0,142528009"
172388,170340,32192,31912,200,9,4664224,104388,1117060,0,408900,896764,4664224,8159224,24,0,84216,23740,108936,7208,315612,1530,0,2,"-3,851138516","-3,492010309","-0,8874194","-0,079857801","-0,027225587","0,6924350644","-0,169383781"
172388,170340,32192,31912,200,65,4663044,104484,1117060,0,408900,896860,4663044,8159224,36,0,84216,23740,108940,7208,313436,1530,0,2,"-3,611524183","-3,4146022","-0,76174422","0,026775868","-0,649584733","1,41712497","0,0888863261"
172388,170340,32192,31912,200,52,4663024,104560,1117060,0,408920,896916,4663024,8159224,152,0,84216,23740,108900,7204,315504,1530,0,2,"-3,636949926","-3,448973799","-0,771469641","0,0019750986","-0,501772488","1,255456319","-0,064533819"
172388,170340,32192,31912,200,40,4663492,104644,1117060,0,408936,896980,4663492,8159224,160,0,84212,23740,109020,7204,315504,1530,0,2,"-3,691292219","-3,441497612","-0,7846908","-0,017444398","-0,390508868","1,1157411818","-0,113469363"
172388,170340,32192,31912,200,26,4663480,104736,1117060,0,408944,897068,4663480,8159224,32,0,84216,23740,108904,7204,315448,1530,0,2,"-3,779134671","-3,444486052","-0,859568793","-0,047865762","-0,211922875","0,9114257101","-0,163575464"
172388,170340,32192,31912,200,17,4663188,104824,1117060,0,408964,897140,4663188,8159224,32,0,84220,23740,108892,7204,317500,1530,0,2,"-3,761480094","-3,47363944","-0,883278114","-0,065323203","-0,102106172","0,7978604207","-0,215491014"
172388,170340,32192,31912,200,9,4663128,104912,1117060,0,408968,897220,4663128,8159224,32,0,84216,23740,109024,7204,317680,1530,0,2,"-3,783696711","-3,459191276","-0,889411658","-0,076818495","-0,035513965","0,7127161624","-0,247230602"
172388,170340,32192,31912,200,64,4662440,104988,1117060,0,408988,897276,4662440,8159224,40,0,84216,23740,108972,7208,317680,1530,0,2,"-3,474681683","-3,441031752","-0,767705175","0,0256940087","-0,62186407","1,4167078557","0,0637413304"
172388,170340,32192,31912,200,54,4662388,105084,1117064,0,408996,897368,4662388,8159224,32,0,84216,23740,109096,7208,313224,1530,0,2,"-3,652893067","-3,356428309","-0,768770547","0,0094938929","-0,5418012","1,2830910748","0,051580288"
172388,170340,32192,31912,200,44,4662104,105156,1117064,0,409016,897420,4662104,8159224,160,0,84216,23740,109008,7204,315368,1530,0,2,"-3,663395984","-3,394862895","-0,771751283","-0,010991343","-0,41744918","1,1531019969","-0,092062033"
172388,170340,32192,31912,200,32,4662676,105236,1117064,0,409040,897476,4662676,8159224,144,0,84216,23740,108964,7204,315276,1020,0,2,"-3,524919247","-3,436706366","-0,845516253","-0,026569526","-1,252671759","-0,04647021","-0,161316418"
172388,170340,32192,31912,200,23,4662012,105324,1117064,0,409048,897556,4662012,8159224,44,0,84216,23740,109008,7204,317380,1020,0,2,"-3,495996154","-3,447818002","-0,895911108","-0,042514111","-1,153208897","-0,149939645","-0,202001392"
172388,170340,32192,31912,200,9,4662504,105364,1117064,0,409096,897548,4662504,8159224,36,0,84216,23740,108908,7204,312468,1530,0,2,"-3,953200918","-3,364241486","-0,876659531","-0,081444359","-0,014860995","0,6611916375","-0,216716865"
172388,170340,32192,31912,200,9,4662496,105456,1117056,0,409112,897620,4662496,8159224,44,0,84220,23740,108896,7204,316672,1530,0,2,"-3,824273047","-3,427441477","-0,881789027","-0,081306867","-0,000874663","0,6754627851","-0,241840124"
